Symbol,Token,,,,NIFTY 50,,,,,
GAEL,8828,,,,,,,,,
GABRIEL,1085,,,,,,,,,
G1NSETEST,12842,,,,,,,,,
FUSION,11932,,,,,,,,,
FSL,14304,,,,,,,,,
GALAXYSURF,1315,,,,,,,,,
FSC,14628,,,,,,,,,
FOSECOIND,1073,,,,,,,,,
FORTIS,14592,,,,,,,,,
FORCEMOT,11573,,,,,,,,,
FOODSIN,6673,,,,,,,,,
FONEBOX,22517,,,,,,,,,
FOCUS,6836,,,,,,,,,
FROG,11501,,,,,,,,,
GALLANTT,13341,,,,,,,,,
GANDHAR,20303,,,,,,,,,
GANDHITUBE,14116,,,,,,,,,
GENESYS,10905,,,,,,,,,
GENCON,2188,,,,,,,,,
GEEKAYWIRE,17922,,,,,,,,,
GEECEE,13658,,,,,,,,,
GAYAPROJ,19675,,,,,,,,,
GAYAHWS,3699,,,,,,,,,
GATEWAY,8510,,,,,,,,,
GATECHDVR,27,,,,,,,,,
GATECH,18018,,,,,,,,,
GARFIBRES,1100,,,,,,,,,
GANGESSECU,21399,,,,,,,,,
GANGAFORGE,4959,,,,,,,,,
GANESHHOUC,14339,,,,,,,,,
GANESHBE,5614,,,,,,,,,
GANECOS,6944,,,,,,,,,
GNFC,1174,,,,,,,,,
HYBRIDFIN,12809,,,,,,,,,
IBLFL,21348,,,,,,,,,
IBREALEST,14450,,,,,,,,,
KANANIIND,25790,,,,,,,,,
KAMOPAINTS,13814,,,,,,,,,
KAMDHENU,13457,,,,,,,,,
KAMATHOTEL,1826,,,,,,,,,
KALYANKJIL,2955,,,,,,,,,
KALYANIFRG,15156,,,,,,,,,
KANDARP,11208,,,,,,,,,
KALYANI,19653,,,,,,,,,
KAKATCEM,1811,,,,,,,,,
KAJARIACER,1808,,,,,,,,,
KABRAEXTRU,1805,,,,,,,,,
K2INFRA,23459,,,,,,,,,
JYOTISTRUC,5481,,,,,,,,,
JYOTICNC,21334,,,,,,,,,
KALAMANDIR,18755,,,,,,,,,
JYOTHYLAB,15146,,,,,,,,,
KANORICHEM,1835,,,,,,,,,
KANSAINER,1196,,,,,,,,,
KDDL,14908,,,,,,,,,
KCPSUGIND,4809,,,,,,,,,
KCP,1841,,,,,,,,,
KCK,10293,,,,,,,,,
KCEIL,21173,,,,,,,,,
KBCGLOBAL,2354,,,,,,,,,
KANPRPLA,1782,,,,,,,,,
KAYNES,12092,,,,,,,,,
KAVVERITEL,15244,,,,,,,,,
KAUSHALYA,15136,,,,,,,,,
KARURVYSYA,1838,,,,,,,,,
KARNIKA,19465,,,,,,,,,
KARMAENG,24389,,,,,,,,,
KAPSTON,18967,,,,,,,,,
KAYA,10276,,,,,,,,,
KDL,16758,,,,,,,,,
JWL,20224,,,,,,,,,
JUNIPER,22824,,,,,,,,,
JNKINDIA,23621,,,,,,,,,
JMFINANCIL,13637,,,,,,,,,
JMA,7113,,,,,,,,,
JLHL,18553,,,,,,,,,
JKTYRE,14435,,,,,,,,,
JKPAPER,11860,,,,,,,,,
